Turkish,Non-Vegetarian,Spicy Lamb Rice Bowl ,20 min,"Lamb, Onion, Butter, Nuts, Paprika, Cheese","Milk, Nuts","Step 1: Marinate the Lamb with salt, pepper, and spices. Step 2: Heat oil in a pan and pan-fry the Lamb until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a rice bowl."
Spanish,Non-Vegetarian,Spicy Shrimp Sandwich ,1 hr 1 min,"Shrimp, Honey, Paprika, Flour, Herbs, Nuts","Nuts, Gluten, Seafood, Honey","Step 1: Marinate the Shrimp with salt, pepper, and spices. Step 2: Heat oil in a pan and steam the Shrimp until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a sandwich."
Vietnamese,Vegetarian,Herbed Kidney beans Stew ,1 hr 33 min,"Kidney beans, Tomato, Flour, Butter","Milk, Gluten","Step 1: Chop the vegetables and prepare the Kidney beans. Step 2: Heat oil in a pan and grill onion, garlic, and spices. Step 3: Add Kidney beans and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a stew."
Vietnamese,Vegan,Crispy Tofu Stir-fry ,37 min,"Tofu, Olive oil, Vinegar, Ginger, Coriander, Chili, Paprika, Black pepper",Soy,"Step 1: Chop the vegetables and prepare the Tofu. Step 2: Heat oil in a pan and grill onion, garlic, and spices. Step 3: Add Tofu and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a stir-fry."
Caribbean,Non-Vegetarian,Smoky Salmon Pizza ,1 hr 9 min,"Salmon, Herbs, Onion, Cumin, Yogurt, Vinegar, Lemon","Milk, Seafood","Step 1: Marinate the Salmon with salt, pepper, and spices. Step 2: Heat oil in a pan and saute the Salmon until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a pizza."
Mexican,Non-Vegetarian,Savory Pork Rice Bowl ,1 hr 31 min,"Pork, Ginger, Flour, Chili, Onion, Black pepper, Garlic, Vinegar",Gluten,"Step 1: Marinate the Pork with salt, pepper, and spices. Step 2: Heat oil in a pan and braise the Pork until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a rice bowl."
Lebanese,Vegetarian,Zesty Zucchini Curry ,31 min,"Zucchini, Olive oil, Chili, Yogurt, Butter, Onion, Milk",Milk,"Step 1: Chop the vegetables and prepare the Zucchini. Step 2: Heat oil in a pan and steam onion, garlic, and spices. Step 3: Add Zucchini and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a curry."
Caribbean,Vegan,Herbed Kidney beans Stew ,43 min,"Kidney beans, Vinegar, Herbs, Soy sauce, Coriander, Garlic, Ginger",Soy,"Step 1: Chop the vegetables and prepare the Kidney beans. Step 2: Heat oil in a pan and roast onion, garlic, and spices. Step 3: Add Kidney beans and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a stew."
Thai,Vegan,Lemony Chickpeas Burger ,15 min,"Chickpeas, Flour, Paprika, Vinegar, Soy sauce","Soy, Gluten","Step 1: Chop the vegetables and prepare the Chickpeas. Step 2: Heat oil in a pan and boil onion, garlic, and spices. Step 3: Add Chickpeas and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a burger."
Lebanese,Vegan,Minty Kidney beans Pizza ,44 min,"Kidney beans, Tomato, Soy sauce, Paprika, Chili, Nuts, Flour","Soy, Nuts, Gluten","Step 1: Chop the vegetables and prepare the Kidney beans. Step 2: Heat oil in a pan and steam onion, garlic, and spices. Step 3: Add Kidney beans and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a pizza."
